"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.091,0.913,"ns"
"2","10","60",3,3,0.058,0.579,"ns"
"2","10","120",3,3,0.002,0.018,"*"
"2","10","180",3,3,0.003,0.033,"*"
"2","30","60",3,3,0.242,1,"ns"
"2","30","120",3,3,0.007,0.069,"ns"
"2","30","180",3,3,0.002,0.025,"*"
"2","60","120",3,3,0.013,0.131,"ns"
"2","60","180",3,3,0.006,0.061,"ns"
"2","120","180",3,3,0.2,1,"ns"
"3","10","30",3,3,0.001,0.013,"*"
"3","10","60",3,3,0.002,0.019,"*"
"3","10","120",3,3,0.076,0.765,"ns"
"3","10","180",3,3,0.299,1,"ns"
"3","30","60",3,3,0.468,1,"ns"
"3","30","120",3,3,0.002,0.024,"*"
"3","30","180",3,3,0.000912,0.009,"**"
"3","60","120",3,3,0.003,0.03,"*"
"3","60","180",3,3,0.001,0.013,"*"
"3","120","180",3,3,0.538,1,"ns"
