"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.649,1,"ns"
"C","2","4",3,3,1,1,"ns"
"C","2","5",3,3,0.493,1,"ns"
"C","3","4",3,3,0.649,1,"ns"
"C","3","5",3,3,0.686,1,"ns"
"C","4","5",3,3,0.493,1,"ns"
"N","2","3",3,3,0.387,1,"ns"
"N","2","4",3,3,1,1,"ns"
"N","2","5",3,3,0.725,1,"ns"
"N","3","4",3,3,0.184,1,"ns"
"N","3","5",3,3,0.686,1,"ns"
"N","4","5",3,3,0.667,1,"ns"
"V","2","3",3,3,0.649,1,"ns"
"V","2","4",3,3,1,1,"ns"
"V","2","5",3,3,0.649,1,"ns"
"V","3","4",3,3,0.649,1,"ns"
"V","3","5",3,3,1,1,"ns"
"V","4","5",3,3,0.649,1,"ns"
